access to classified information	– գաղտնի տեղեկություններ ստանալու իրավունք եւ հնարավորություն:
logistics	– թիկունքի ծառայություն - զորքերի տեղաշարժի եւ մատակարարման պլանավորում եւ իրականացում: Այն ընդգրկում է (ա) անհրաժեշտ նյութական միջոցների պլանավորման հարցերը, դրանց ձեռբերումը, փոխադրումը, պահեստավորումը, տեղավորումը, սպասարկումը, տարհանումը եւ տեղաբաշխումը, (բ) զինծառայողների տեղափոխումը, տարհանումը եւ հոսպիտալացումը, (գ) անհրաժեշտ շինությունների ձեռքբերումը կամ կառուցումը, տեղաբաշխումը, պահպանումը եւ շահագործումը, (դ) անհրաժեշտ աշխատանքների կազմակերպումը եւ իրականացումը: 
low visibility operations	– ցածր տեսանելիության գործողություններ - քաղաքականապես զգայուն գործողություններ, որոնց իրականացման ժամանակ գաղտնի գործողություններին հատուկ քաղաքական-մարտական խիստ սահմանափակումների պահպանումը անհրաժեշտ չէ կամ կիրառելի չէ: Գործողության ժամանակ պահանջվում է միայն սահմանափակել մասնակիցների կամ նրանց ձեռնարկած քայլերի բացահայտման աստիճանը: Նման գործողություն իրականացնելիս հաշվի է առնվում այն հանգամանքը, որ նախաձեռնող պետությունը կարող է ի վիճակի չլինել արժանահավատ կերպով հերքելու իր մասնակցությունն այդ գործողության իրագործմանը կամ իր կողմից այն հովանավորելու փաստը:
magnetic mine	– մագնիսային ական - ական, որը գործում է թիրախի մագնիսական դաշտի ազդեցությունից:
mail embargo	– նամակագրության արգելք - որեւէ վայրից ստացվող կամ դեպի այդ վայրն ուղարկվող նամակագրության հոսքի ժամանակավոր կասեցում կամ նրա վերաուղղորդում այլ վայր:
main attack	– գլխավոր հարձակում - հիմնական հարձակումը, որի ընթացքում հրամանատարն օգտագործում է իր տրամադրության տակ եղած ողջ մարտական հզորությունը: Այդ հարձակումն ուղղվում է ռազմարշավի, խոշոր ռազմական գործողության կամ ճակատամարտի գլխավոր նպատակին հասնելուն:
main supply route	– մատակարարման գլխավոր ուղի - ուղի կամ ուղիներ, որոնցով ընթանում են մարտական գործողությունների համար անհրաժեշտ մատակարարումն իրականացնող փոխադրամիջոցների հիմնական մասը:
maneuver	– զորաշարժ - 1. տեղաշարժ, որի նպատակն է նավերը, օդանավերը կամ ցամաքային ուժերը տեղադրել հակառակորդի նկատմամբ առավելություն ունեցող դիրքերում: 2. Մարտավարական զորավարժանք, որը պատերազմական իրավիճակի նմանակման պայմաններում իրականացվում է ծովում, ցամաքի վրա, օդում կամ քարտեզի վրա: 3. Նավի, օդանավի կամ ցամաքային փոխադրամիջոցի  գործողություն, որի նպատակը ցանկալի ուղղությամբ դրանց շարժումն ապահովելն է: 4. Տեղաշարժն ու հակառակորդի դեմ կրակը զուգակցելով, տեղանքում մարտական ուժերի կիրառում՝ նպատակ ունենալով հասնել հակառակորդի նկատմամբ դիրքային առավելության եւ կատարել մարտական առաջադրանքը:
manifest	– հայտարարագիր - փաստաթուղթ, որը մանրամասն տեղեկություններ է պարունակում փոխադրամիջոցով տեղափոխվող ուղեւորների կամ բեռների մասին:
map exercise	– քարտեզով վարժություն - վարժություն, որի ժամանակ զանազան մարտական իրավիճակներ առաջադրվում եւ լուծում են ստանում քարտեզի վրա:
marking fire	– նշադրող կրակ -  թիրախը մատնանշելու նպատակով նրա վրա արձակվող կրակ:
mass	– զանգված - 1. մարտական ստորաբաժանումների կենտրոնացում: 2. Ռազմական խմբավորում, ուր ստորաբաժանումների միջեւ տարածությունը սովորականից ավելի փոքր է:
maximum effective range	– առավելագույն արդյունավետության հեռավորություն - այն առավելագույն հեռավորությունը, որտեղ տվյալ զենքը կարող է գործել ճշգրտությամբ եւ ցանկալի արդյունք ապահովել:
media pool	– լրատվամիջոցների համատեղում - զանգվածային լրատվամիջոցների սահմանափակ քանակություն, որը պետական որոշակի գործունեության ժամանակահատվածում լուրեր հավաքելու եւ համատեղ օգտագործելու հարցում ներկայացնում է զանգվածային լրատվամիջոցների ավելի լայն շրջանակ:  Հնարավորությունների նման համատեղումը սովորաբար կիրառվում է, երբ լրատվամիջոցներին սպասարկող տարածքը չի բավարարում բոլոր լրագրողներին տեղավորելու համար:
medium-range ballistic missile	— միջին հեռահարության բալիստիկ հրթիռ - 600-ից 1500 ծովային մղոն շառավղով գործելու ունակ բալիստիկ հրթիռ:
medium-scale map	— միջին մասշաբի քարտեզ - 1:600,000 – ից մեծ եւ 1:75,000 փոքր մասշտաբ ունեցող քարտեզ:
message	– հաղորդագրություն - հաղորդակցության որեւէ միջոցով տեղ հասցվող սովորական կամ գաղտնի լեզվով արտահայտված որեւէ միտք կամ գաղափար:
microform	– միկրոկրիչ - ֆոտոժապավեն, տեսաժապավեն, թուղթ կամ ցանկացած այլ միջոց, որը պարունակում է փոքրացված կամ սեղմված պատկերներ, որոնք չեն կարող ընթերցվել առանց հատուկ ցուցադրող սարքերի կիրառման:  
military education	– ռազմական կրթություն - այնպիսի առարկաների համակարգված ուսուցումը, որոնք ավելացնում են պատերազմի գիտության եւ արվեստի մասին սովորողի գիտելիքները:
military occupation	– ռազմական օկուպացիա, ռազմակալում - վիճակ, երբ տարածքը գտնվում է օտարերկրյա զինված ուժերի վերահսկողության տակ:
mine	– ական - 1. պայթուցիկ կամ այլ նյութ, որը նախատեսված է ցամաքային փոխադրամիջոցներ,նավակներ, օդանավեր ոչնչացնելու, վնասելու, զինծառայողներին վիրավորելու, սպանելու կամ որեւէ այլ ձեւով շարքից հանելու համար: Այն կարող է պայթել թիրախի գործողության հետեւանքով կամ նախօրոք սահմանված ժամկետին, կամ պայթեցվել հեռակառավարման միջոցով:          2. Ծովային պատերազմում կիրառվող պայթուցիկ սարք, որը տեղադրվում է ծովում նավերին վնասելու, դրանք խորտակելու կամ որոշակի տարածք նավերի մուտքն արգելափակելու համար:
missile defense	– հրթիռային պաշտպանություն - պաշտպանական միջոցներ, որոնց նպատակն է ոչնչացնել հակառակորդի կողմից արձակված հրթիռները,  չեզոքացնել հակառակորդի հրթիռային հարձակումը կամ նվազեցնել նման հարձակման արդյունավետությունը:
mixed minefield	– խառն ականապատված դաշտ - ականապատված դաշտ, որը պարունակում է թե՛ հակատանակային, թե՛ հակահետեւակային ականներ:
mobility	– շարժունակություն - զորամիավորման կողմից իր հիմնական առաջադրանքը կատարելու կարողությունը պահպանելով հանդերձ` տեղից-տեղ շարժվելու նրա ունակությունը:
mortar	– ականանետ - փողաբերանից լիցքավորվող եւ ոչ ուղղաձիգ կրակ վարող ակոսափող կամ հարթափող զինատեսակ: Նրա կրակի հեռահարությունը սովորաբար ավելի փոքր է, քան հաուբիցինը եւ կրակում է ավելի բարձր անկյունով: 
multinational	– բազմազգ - երկու կամ ավելի պետությունների զինված ուժերի կամգերատեսչությունների համատեղ գործողություն, զորամիավորում, հաստատություն, պլանավորում եւ այլն:
multinational staff	– բազմազգ անձնակազմ - անձնակազմ, որը բաղկացած է երկու կամ ավելի պետությունների զինծառայողներից:
muzzle brake	– փողաբերանի արգելակ - զենքի փողաբերանին ամրացված սարք, որն օգտագործում է դուրս եկող գազը զենքի հետահարումը նվազեցնելու համար:
national policy	– պետական քաղաքականություն -  երկրի գործադիր իշխանության կողմից ընդունված եւ պետական խնդիրների լուծմանն ուղղված գործունեության ընդհանուր ուղղություն կամ որպես ուղեցույց ծառայող պաշտոնական շարադրանք:
nation assistance	– պետական օգնություն - քաղաքացիական կամ ռազմական օգնություն որը խաղաղության, ճգնաժամի, ծայրահեղ վիճակների կամ պատերազմի ժամանակաշրջանում որեւէ պետության կողմից, փոխադարձ համաձայնության հիման վրա, տրամադրվում է մեկ այլ երկրի՝ վերջինիս տարածքում: 
natural disaster	– բնական աղետ - բնության երեւույթներով պայմանավորված ծայրահեղ իրավիճակ, որը էական վտանգ է ներկայացնում մարդկանց կյանքի եւ ունեցվածքի համար:
nautical mile	– ծովային մղոն - տարածության չափ, որը հավասար է 1852 մետրի: Օգտագործվում է նավագնացությունում եւ օդագնացությունում:
net weight	– մաքուր քաշը (նետտո կշիռը) - փոխադրամիջոցի կշիռն առանց վառելիքի, շարժիչի յուղի, սառեցնող հեղուկի, փոխադրամիջոցի գործիքների ու պահեստամասերի, բեռների, ուղեւորների եւ անձնակազմի քաշի:
neutrality	– չեզոքություն - միջազգային իրավունքի տերմին, որը նշանակում է պատերազմի ժամանակ պատերազմող կողմերի նկատմամբ երրորդ պետության կողմից անկողմնակալ դիրքորոշման պահպանում: Այդ դիրքորոշումը ճանաչվում է պատերազմող պետությունների կողմից եւ փոխադարձ իրավունքներ ու պարտականություններ է ստեղծում անկողմնակալ պետության եւ պատերազմող պետությունների միջեւ:
neutral state	– չեզոք պետություն - պատերազմի ժամանակ չեզոքության քաղաքականություն վարող պետություն:
news media representative	– զանգվածային լրատվամիջոցի ներկայացուցիչ -  անձ, որը որպես քաղաքացիական ռադիոկայանի, հեռուստատեսության, լրագրի, ամսագրի, պարբերականի կամ լրատվական գործակալության աշխատակից զբաղվում է հրապարակման արժանի իրադարձության վերաբերյալ տեղեկություններ հավաքելով եւ հաղորդելով:
nonair transportable	– օդով անփոխադրելի -  բեռ, որը հնարավոր չէ փոխադրել օդային փոխադրամիջոցով այդ բեռի չափերի, կշռի, առանձնահատուկ հատկանիշների կամ այլ սահմանափակումների պատճառով:
nonaligned state	– չմիացած պետություն - պետություն, որը վարում է չմիանալու քաղաքականություն:
nonalignment	– չմիանալու քաղաքականություն - այն պետության քաղաքական դիրքորոշումը, որը չի միանում այլ պետությունների, նրանց խմբի կամ միջազգային որեւէ կառույցի քաղաքական գաղափարախոսությանը, նրանց հետամտած խնդիրներին կամ դրանցից բխող արտաքին քաղաքականությանը: 
nongovernmental organization	– ոչ կառավարական կազմակերպություն - ոչ պետական, ինքնակառավարվող, շահույթ ստանալու նպատակ չհետապնդող կազմակերպություն, որի նպատակները կարող են լինել մարդկային տառապանքի թեթեւացումը, կրթության, առողջապահության, տնտեսական զարգացման, շրջակա միջացայրի պաշտպանության, մարդու իրավունքների պաշտպանության, հակամարտությունների լուծման ասպարեզներում առաջընթացին, ժողովրդավարական հաստատությունների ու քաղաքացիական հասարակության կայացմանն աջակցելը:
nonproliferation	– չտարածման քաղաքականություն -  գործունեություն (օրինակ` դիվանագիտական քայլեր, սպառազինությունների վերահսկողություն, բազմակողմ համաձայնագրերի կնքում, արտահանման նկատմամբ վերահսկողություն), որի նպատակն է կանխել զանգվածային ոչնչացման զենքերի տարածումը: 
normal lighting	– սովորական լուսավորություն - փոխադրամիջոցների լուսարձակների լուսավորությունն ըստ տվյալ երկրում գործող օրենսդրության պահանջների, առանց ռազմական նկատառումերով պարտադրվող սահմանափակումների:
nuclear airburst	– օդամիջուկային պայթյուն -  միջուկային զենքի պայթյուն օդում՝ պայթյունի հրեգնդի շառավղից ավելի մեծ բարձրության վրա:
nuclear damage	– միջուկային պայթյունով պատճառված վնաս - 1. թեթեւ վնաս` որը չի խոչընդոտում սարքավորումների եւ կառույցների անհապաղ օգտագործմանը: Հնարավոր է, որ սարքավորումների կամ կառույցների լիարժեք օգտագործման համար անհրաժեշտ լինի կատարել որոշակի վերանորոգում: 2. Միջին աստիճանի վնաս` որը խոչընդոտում է սարքավորումների կամ կառույցների օգտագործումն առանց ծավալուն վերանորոգում կատարելու: 3. Ծանր վնաս` որը երկարաժամկետ խոչընդոտ է հանդիսանում սարքավորումների եւ կառույցների օգտագործման համար:
nuclear intelligence	– միջուկային հետախուզական ինֆորմացիա - ինֆորմացիա, որը հանդիսանում է ճառագայթման եւ ճառագայթող աղբյուրների այլ հատկանիշների հայտնաբերման եւ վերլուծության արդյունք:
nuclear warfare	– միջուկային պատերազմ - պատերազմ, որում օգտագործվում են միջուկային զենքեր:
observation helicopter	– դիտարկող ուղղաթիռ - ուղղաթիռ, որը հիմնականում օգտագործվում է դիտարկում կատարելու եւ հետախուզության նպատակով, բայց կարող է օգտագործվել նաեւ այլ նպատակներով:
obstacle clearing	– խոչընդոտի մաքրում - խոչընդոտների լրիվ վերացում կամ չեզոքացում:
offensive minefield	– հարձակողական ականապատում - ծովային պատերազմում կիրառվող ականապատում, որն իրականացվում է հակառակորդի տարածքային ջրերում կամ հակառակորդի կողմից վերահսկվող ջրերում:
one day’s supply	– մեկօրյա պաշար - պաշարի միավոր կամ քանակ, որը չափանիշ է հանդիսանում տվյալ պայմաններին համապատասխան օրական սպառումը հաշվարկելու համար:
open ocean	– բաց օվկիանոս - ափից 12 ծովային մղոն հեռավորությունից այն կողմ  տարածվող օվկիանոսը:
open route	– բաց ճանապարհ - ճանապարհ, որի վրա չեն տարածվում երթեւեկության կամ տեղաշարժման վերահսկողության սահմանափակումներ:
open-source intelligence	— հետախուզական ինֆորմացիա բաց աղբյուրներից - պոտենցիալ հետախուզական արժեք ներկայացնող տեղեկություններ, որոնք մատչելի են հանրությանը:
operational environment	– գործողության միջավայր - այն պայմանների, հանգամանքների եւ ազդեցությունների համակցությունը, որն ազդում է ստորաբաժանման կարողությունների գործադրման վրա եւ հաշվի է առնվում հրամանատարի կողմից որոշումներ ընդունելիս:
operational reserve	– գործողության ռեզերվ - զինծառայողներից եւ նյութական միջոցներից բաղկացած ռեզերվ, որը պլանավորված է օգտագործել ծայրահեղ իրավիճակներում, տվյալ գործողության իրականացմանն աջակցելու նպատակով:
operations to restore order	– կարգ ու կանոնը վերականգնելու գործողություն -գործողություններ, որոնք ուղղված են բռնարարքները դադարեցնելուն եւ քաղաքացիական իշխանություններին աջակցելուն, նրանց կառավարման համակարգը վերականգնելուն կամ նոր համակարգ հաստատելուն: Այդ գործողությունների նպատակն է անկայուն եւ օրինազանց միջավայրը այնպիսի վիճակի վերադարձնելը, որ տեղական ոստիկանական ուժերն ի վիճակի լինեն արդյունավետ կերպով գործադրել օրենքն ու վերականգնել քաղաքացիական իշխանությունը:
optimum height	– ամենահարմար բարձրություն - պայթյունի այն բարձրությունը, որի դեպքում պայթյունն առավելագույն արդյունքը կունենա տվյալ թիրախի դեմ:
order	– հրաման - գրավոր, բանավոր կամ ազդանշանով տրվող հաղորդակցություն, որը վերադասի հրահանգները փոխանցում է ստորադասին:
overhaul	– հիմնարար վերանորոգում - որեւէ առարկայի աշխատանքային վիճակի այնպիսի լիակատար վերականգնում, որը նախատեսված է այդ առարկայի շահագործման չափորոշիչներով:
overt operation	– բաց գործողություն - գործողություն, որը կատարվում է բաց կերպով, անթաքույց:
parachute deployment height	– պարաշյուտի բացման բարձրություն - գետնին բախվելու կետի վերեւում այն բարձրությունը, ուր պարաշյուտը կամ պարաշյուտները լրիվ բացվում են: 
paramilitary forces	– ռազմականացված ուժեր - որեւէ երկրի կանոնավոր բանակի կազմում չգտնվող խմբեր, որոնք իրենց կառուցվածքով, հանդերձանքով, պատրաստվածությամբ կամ առաքելությամբ նմանվում են կանոնավոր բանակի ստորաբաժանումներին:
passenger mile	– ուղեւորամղոն - մեկ ուղեւորի փոխադրումը մեկ մղոն:
pass time	– անցման ժամանակը - այն ժամանակահատվածը, որը տեւում է տվյալ կետի մոտով ավտոշարասյան առաջատար փոխադրամիջոցի անցման պահից մինչեւ վերջին փոխադրամիջոցի անցումը նույն կետով:
password	– նշանաբան - գաղտնաբառ կամ տարբերակիչ հնչյուն, որն օգտագործվում է ի պատասխան ժամապահի կանչի կամ համաձայն այլ այմանավորվածության:
peacekeeping operation	– խաղաղապահ գործողություն - ռազմական բնույթի գործողություններ, որոնք իրականացվում են հակամարտության բոլոր հիմնական կողմերի համաձայնությամբ եւ որոնց նպատակն է կնքված համաձայնագրի (կրակի դադարեցման, զինադադարի եւ այլն) կատարման ընթացքին հետեւելը եւ կենսագործմանն օժանդակելը, ինչպես նաեւ երկարաժամկետ քաղաքական կարգավորման հասնելու դիվանագիտական ջանքերին աջակցելը:
penetration	– ճեղքում - հարձակման տեսակ, որի նպատակը հակառակորդի պաշտպանությունը ճեղքել-անցնելն է եւ նրա պաշտպանության համակարգին առավելագույն վնաս հասցնելը: 
perimeter defense	– շրջանաձեւ պաշտպանություն - պաշտպանություն առանց խոցելի թեւերի: Շրջանաձեւ պաշտպանության ժամանակ ուժերը տեղաբաշխվում են պաշտպանության ենթակա տարածքի ողջ պարագծի երկայնքով:
personal effects	– անձնական իրեր - անհատի մասնավոր սեփականությունը կազմող շարժական գույքը:
pillbox	– բլինդաժ - փոքրածավալ, ցածր բարձրությամբ ամրաշինություն:
position defense	– դիրքային պաշտպանություն - պաշտպանության տեսակ, որի ժամանակ պաշտպանական ուժերի հիմնական մասը տեղաբաշխված է վճռական ճակատամարտի տեսանկյունից մարտավարական նշանակություն ունեցող դիրքերում: Գլխավոր խնդիրը կայանում է պաշտպանական ուժերի կողմից իրենց դիրքերը պահելու եւ միմյանց միջեւ եղած տեղանքը վերահսկելու մեջ: Ռեզերվն օգտագործվում է պաշտպանության խորությունն ապահովելու եւ կորցրած մարտական դիրքերը հակահարձակման միջոցով վերականգնելու համար:
precision bombing	– նշանառությամբ ռմբանետում - հատուկ կետային թիրախի դեմ իրականացվող ռմբակոծում:
preemptive attack	– կանխարգելիչ հարձակում - հարձակում, որը նախաձեռնվում է հակառակորդի վերահաս հարձակման մասին անհերքելի ապացույցների առկայության դեպքում:
prevention	– կանխում - ահաբեկչական հարձակումների կատարմանը խոչընդոտելու նպատակով պետական մարմինների եւ մասնավոր սեկտորի կողմից ձեռնարկվող անվտանգության միջոցառումներ:
preventive diplomacy	– կանխիչ դիվանագիտություն - նախքան կանխատեսելի ճգնաժամի վրա հասնելը, բռնության կանխման կամ սահմանափակման նպատակով, վաղօրոք ձեռնարկվող դիվանագիտական քայլեր: 
preventive war	– կանխիչ պատերազմ - պատերազմ, որը նախաձեռնվում է այն համոզմամբ, որ ռազմական բախումը, թեեւ ոչ վերահաս, բայց անխուսափելի է եւ որ հապաղումը կարող է հանգեցնել ավելի մեծ վտանգների:
prior permission	– նախօրոք տրված թույլտվություն - թույլտվություն, որ իրավասու մարմնի կողմից տրվում է  նախքան օդանավի թռիչքի մեկնարկը եւ արտոնում է վերջինիս վայրէջքը տվյալ պետության տարածքում կամ այդ տարածքի վրայով կատարվելիք թռիչքը:
probability of damage	– վնասի հավանականություն - թիրախին վնաս պատճառելու հավանականությունը` արտահայտված տոկոսների կամ տասնորդական կոտորակի ձեւով:
prohibited area	– արգելված տարածք - հատուկ տարածություն պետության ցամաքային տարածքի, ներքին ջրերի կամ տարածքային ջրերի սահմաններում, որի վրայով օդանավերի թռիչքն արգելվում է:
psychological operations	– հոգեբանական գործողություններ - օտարերկրյա ունկնդիրների զգացմունքների, գործունեության շարժառիթների, անաչառ կշռադատելու ունակության վրա ներազդելու եւ, վերջին հաշվով, օտարերկրյա կառավարությունների, կազմակերպությունների, խմբերի կամ անհատների վարքագծի վրա ազդելու նպատակով հատուկ մշակված ինֆորմացիա  նրանց հաղորդելու համար համակարգված միջոցառումների իրականացում: Հոգեբանական գործողություններ նախաձեռնողի նպատակը օտար երկրներում իրեն ձեռնտու տրամադրությունների եւ վարքագծի սերմանումն ու ամրապնդումն է: 
public information	– ինֆորմացիա հանրության համար - ռազմական բնույթի ինֆորմացիա, որի տարածումը հանրային լրատվամիջոցներով չի հակասում անվտանգության շահերին եւ որի հրապարակումը դիտվում է իբրեւ ցանկալի երեւույթ կամ առարկության չի հանդիպում իրավասու պետական մարմնի կողմից: 
pursuit	– հետապնդում - հարձակողական գործողություն, որի նպատակն է ոչնչացնել նահանջող կամ փախչող եւ յուրայիններին միանալ ձգտող հակառակորդի մարտական ուժերը:
quay	– նավամատույց - ափի երկայնքով ձգվող ամուր կառույց, որը տրամադրում է նավակառանման հնարավորություն, ինչպես նաեւ, բեռնաթափման-բեռնավորման հարմարություններ: 
quick response forces	– արագ արձագանքման ուժեր - փոքրաթիվ կազմ ունեցող, հատուկ առաջադրանքների համար նախապատրաստված, թեթեւ զինատեսակներով զինված ցամաքային ստորաբաժանում, որը կարող է գործել արագ կերպով, նվազագույն քանակի հանդերձանքով եւ ունակ է տրամադրելու հրատապ կամ ծայրահեղ վիճակներում պահանջվող աջակցություն:
radio beacon	– ռադիոփարոս - առանձնահատուկ կամ բնութագրական ազդանշան արձակող ռադիոհաղորդիչ սարք, որն օգտագործվում է օբյեկտի գտնվելու վայրը կամ շարժման ուղղությունը որոշելու համար:
raid	– մարտարշավ - որեւէ տարածք ժամանակավորապես գրավելու համար իրականացվող գործողություն, որի նպատակը կարող է լինել որոշակի տեղեկություններ հայթայթելը, հակառակորդին շփոթության մատնելը, նրա զինծառայողներին գերելը, որեւէ սարքավորում գրավելը կամ հակառակորդի որեւէ կարողություն վերացնելը: Մարտարշավն ավարտվում է առաջադրանքը կատարելուց հետո տվյալ տարածքից ստորաբաժանման պլանավորված դուրս բերմամբ:
random minelaying	– կամայական ականապատում - չհամակարգված ականապատում:
ratification	– վավերացում - 1. հռչակագիր, որով պետությունը (վերապահումներով կամ առանց վերապահումների) ընդունում է կնքված համաձայնագրի բովանդակությունը: 2. Իրավասու պաշտոնյայի կողմից իր լիազորությունների շրջանակում որեւէ ձեռնարկի հավանություն տալու գործընթացը:
reaction time	– արձագանքման ժամանակը - 1. որեւէ գործողության մեկնարկի պահից մինչեւ պատասխան գործողության սկիզբն ընկած ժամանակի տեւողությունը:  2. Այն ժամանակը, որն անհրաժեշտ է զորամիավորմանը  գործողության մասին հրամանի ստացումից հետո նշանակման վայր հասնելու համար: 
refugee	– փախստական -  անձ, որը իրական կամ երեւակայական վտանգի պատճառով լքել է իր հայրենիքը կամ իր քաղաքացիության երկիրը եւ չի կամենում կամ չի կարող վերադառնալ այնտեղ:
religious support	– հոգեւոր աջակցություն - մասնագիտական պարտականությունների այն ամբողջ համակցությունը, որն իրականացվում է բանակային քահանայի կողմից:
repatriate	– հայրենադարձ - անձ որը վերադառնում է իր երկիրը եւ որն այդ երկիրը լքել էր իր կամքին հակառակ կամ որեւէ քաղաքական, կրոնական խմբի պատկանելու կամ համանման այլ դրդապատճառով:  
rescue ship	– փրկարար նավ - նավապահակախմբի կազմում գտնվող նավ, որը նավարկում է շարասյան վերջում՝ անհրաժեշտության դեպքում համապատասխան աջակցություն տրամադրելու համար նավաբեկյալներին կամ օգնության  կարիք ունեցող այլ անձանց:
research	– հետազոտություն - բնական երեւույթների եւ շրջակա միջավայրի վերաբերյալ հավելյալ գիտելիքների ձեռքբերմանը կամ գիտության ասպարեզում խնդիրների լուծմանն ուղղված գործունեություն: Այն ընդգրկում է հիմնարար եւ կիրառական հետազոտությունները:
reservation	– վերապահում - պետության հայտարարագիր այն մասին, որ ստորագրվող միջազգային համաձայնագրի որոշակի մասը տվյալ պետության կողմից չի կատարվելու կամ կատարվելու է սահմանափակումներով:
resources	– միջոցներ - միացյալ ուժերի հրամանատարին հատկացված զինված ուժերը, սարքավորումները, այլ նյութական միջոցները եւ կարողությունները: 
rest and recuperation	– հանգիստ եւ վերականգնում - զինծառայողներին մարտական գործողություններից կամ մարտական գործողությունների գոտուց հանելը` կարճատեւ հանգստի եւ  ուժերի վերականգնման համար:
retirement	– նահանջ - մարտական գործողություն, երբ զորամիավորումը հեռանում է հակառակորդի հետ շփման գծից:
risk	– ռիսկ - վտանգների առկայությամբ պայմանավորված կորուստներ կրելու հավանականությունն ու ծանրությունը:
road block	– ճանապարհի արգելափակում - ուղեփակոց կամ այլ խոչընդոտ, որն օգտագործվում է տվյալ ճանապարհով հակառակորդի փոխադրամիջոցների շարժումը փակելու կամ սահմանափակելու նպատակով:
ruse	– հնարք - ռազմական խորամանկություն, որի նպատակն է հակառակորդին շփոթության մեջ գցելը եւ որը սովորաբար ընդգրկում է հակառակորդի հետախուզական տեղեկություններ հավաքող համակարգին կանխամտածված կերպով կեղծ տեղեկություններ հրամցնելը:
safety device	– ապահովիչ - հարմարանք, որը խոչընդոտում է զենքի կամ սարքի ոչ միտումնավոր գործարկումը:
sanctuary	– ապաստարան - մարտական գործողությունների թատերաբեմին մոտիկ գտնվող կամ սահմանակից պետություն կամ տարածք, որը, պատերազմող կողմերի միջեւ ձեւավորված լուռ համաձայնությամբ, չի ենթարկվում հարձակման եւ ապահով վայր է հանդիսանում մարտնչող կողմերի կազմակերչական եւ այլ ոչ մարտական գործունեության համար:
scheduled fire	– պլանավորված կրակ - նախօրոք համաձայնեցված եւ նախապես որոշված ժամանակին իրականացվող կրակ: 
scheduled target	– պլանավորված թիրախ - թիրախ, որի դեմ կրակը կամ այլ գործողությունները նախօրոք նախատեսված են որոշակի ժամին իրականացնելու համար: 
second strike	– երկրորդ հարված - պատերազմի դեպքում հասցվող առաջին հակահարվածը:
seriously wounded	– ծանր վիրավոր - վիրավոր, որի վնասվածքներն այնքան ծանր են, որ նա ի վիճակի չէ քայլել կամ նստել եւ նրա տեղափոխման համար անհրաժեշտ է պատգարակ:
Silver Triangle	–   «Արծաթե եռանկյունի» - հարավ-ամերիկյան տարածաշրջան, որը բաղկացած է Պերուից, Բոլիվիայից ու Կոլումբիայից եւ պատմականորեն հայտնի է իբրեւ թմրանյութերի ապօրինի արտադրության հիմնական շրջան:
situation map	– իրավիճակային քարտեզ - քարտեզ, որը պատկերում է մարտավարական իրավիճակը որոշակի ժամանակի դրությամբ:
slightly wounded	– թեթեւ վիրավոր - վիրավոր, որի վնասվածքները հարաբերականորեն թեթեւ են եւ նրան թույլ են տալիս քայլել կամ նստել:
small arms	– հրաձգային զենք - ոչ մեծ, անհատական, մինչեւ 20 միլիմետր տրամաչափի հրազեն, որը սովորաբար օգտագործվում է հակառակորդի մարդկային ուժի եւ թեթեւ զրահապատ կամ չզրահապատված փոխադրամիջոցների դեմ:
smoke screen	– ծխածածկույթ - արհեստականորեն ստեղծվող ծխի ամպ, որի նպատակն է քողարկել միավորումների տեղաշարժը, արգելքների հաղթահարումը, հակահարձակումը, զորքի կենտրոնացման տեղանքը, մատակարարման ուղիները կամ օժանդակ կառույցները:
source	– աղբյուր - 1. անձ, հանգամանք կամ միջոցառում, որի շնորհիվ ձեռք է բերվում տեղեկություն: 2. Գաղտնի գործունեությունում ներգրավված անձ (գործակալ), որն օգտագործվում է հետախուզության մարմինների կողմից: 3. Հարցաքննության ընթացքում տեղեկություններ տրամադրող անձ, որը կարող է տեղյակ լինել կամ չլինել, որ իր տրամադրած տեղեկություններն օգտագործվում են հետախուզական նպատակներով:
special activities	– հատուկ գործողություններ -  գործողություններ ի նպաստ պետական արտաքին քաղաքական շահերի, որոնց ընթացքում խնդիր է դրվում խուսափել կազմակերպող պետության դերի հրապարակայնացումից: 
sponsor	– խնամակալ - զինծառայող կամ քաղաքացիական ծառայող, որն ունի իր խնամքի տակ գտնվող անձինք (երեխա, ընտանիքի այլ անդամներ):
standing order	– մշտական հրաման - հրաման, որն ուժի մեջ է մինչեւ ուժը կորցրած հայտարարվելը:
stateless person	– քաղաքացիություն չունեցող անձ - քաղաքացիական անձ, որը զրկվել է իր քաղաքացիությունից կամ որի քաղաքացիության երկիրը հնարավոր չէ պարզել կամ որը չի կարող ապացուցել որեւէ երկրի քաղաքացիություն ունենալու փաստը:
stay behind force	– մնացող զորամիավորում - զորամիավորում, որը մնում է դիրքում տվյալ տարածքից զորքի հիմնական մասի հեռանալուց հետո հատուկ առաջադրանք կատարելու համար:
strategic intelligence	– ռազմավարական հետախուզություն - հետախուզություն, որն անհրաժեշտ է պետական եւ միջազգային մակարդակների քաղաքականության եւ ռազմական պլանների ձեւավորման համար: Ռազմավարական եւ մարտավարական հետախուզությունների տարբերությունը հիմնականում կայանում է նրանց ձեռք բերած արդյունքների կիրառման մակարդակներով:
strike	– հարված - հարձակում որեւէ թիրախ կամ կարողություն ոչնչացնելու կամ վնասելու նպատակով:
